ID_Pas,Codi_Pas,M2_Pas,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Longitud,Latitud,X_ETRS89,Y_ETRS89,Data_Alta,Data_Baixa
8156288,255000000_Pastilla,3.04,1,Ciutat Vella,1,el Raval,2.1686284,41.3779819,430481.025,4581051.440,2000/01/01,
8889867,000000255_Ciclista,2.62,1,Ciutat Vella,1,el Raval,2.1697247,41.3750125,430569.534,4580720.895,2015/04/01,
8151563,255000000_Pastilla,9.16,1,Ciutat Vella,1,el Raval,2.1672780,41.3804513,430370.733,4581326.623,2000/01/01,2018/03/21
9063499,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1745782,41.3794576,430980.102,4581210.518,2000/01/01,2017/10/19
9158648,000000255_Ciclista,0.88,1,Ciutat Vella,1,el Raval,2.1674535,41.3805452,430385.516,4581336.964,2018/03/22,
8841365,255000000_Pastilla,10.00,1,Ciutat Vella,1,el Raval,2.1660338,41.3844727,430270.996,4581774.050,2015/11/05,2018/01/21
8841354,255000000_Pastilla,7.50,1,Ciutat Vella,1,el Raval,2.1650889,41.3845815,430192.110,4581786.972,2015/11/05,2018/01/21
8151569,255000000_Pastilla,11.86,1,Ciutat Vella,1,el Raval,2.1673533,41.3803869,430376.965,4581319.420,2000/01/01,2018/03/21
8151575,255000000_Pastilla,6.09,1,Ciutat Vella,1,el Raval,2.1672562,41.3803753,430368.830,4581318.210,2000/01/01,2018/03/21
8156281,255000000_Pastilla,12.37,1,Ciutat Vella,1,el Raval,2.1692166,41.3785302,430530.793,4581111.850,2000/01/01,
8841291,255000000_Pastilla,4.08,1,Ciutat Vella,1,el Raval,2.1647731,41.3843947,430165.498,4581766.480,2015/11/05,2018/01/21
8151578,255000000_Pastilla,7.54,1,Ciutat Vella,1,el Raval,2.1662104,41.3805638,430281.586,4581339.952,2000/01/01,2018/03/25
8156254,255000000_Pastilla,12.31,1,Ciutat Vella,1,el Raval,2.1697035,41.3781223,430571.076,4581066.159,2000/01/01,
8156247,255000000_Pastilla,13.07,1,Ciutat Vella,1,el Raval,2.1688931,41.3788077,430504.044,4581142.847,2000/01/01,
8151713,255000000_Pastilla,10.56,1,Ciutat Vella,1,el Raval,2.1708224,41.3817675,430668.505,4581469.900,2000/01/01,2014/05/31
8156051,255128000_Taco,3.98,1,Ciutat Vella,1,el Raval,2.1679198,41.3753608,430418.969,4580760.962,2000/01/01,2015/03/31
8156059,255128000_Taco,3.98,1,Ciutat Vella,1,el Raval,2.1678790,41.3753330,430415.531,4580757.984,2000/01/01,2015/03/31
8156073,255128000_Taco,2.99,1,Ciutat Vella,1,el Raval,2.1697954,41.3751318,430575.572,4580734.043,2000/01/01,
8156079,255128000_Taco,3.20,1,Ciutat Vella,1,el Raval,2.1701457,41.3751193,430604.854,4580732.355,2000/01/01,2015/03/31
8151583,255000000_Pastilla,11.98,1,Ciutat Vella,1,el Raval,2.1661748,41.3797075,430277.690,4581244.960,2000/01/01,2018/03/25
8151589,255000000_Pastilla,4.52,1,Ciutat Vella,1,el Raval,2.1662521,41.3797050,430284.153,4581244.640,2000/01/01,2018/03/25
8156240,255000000_Pastilla,13.91,1,Ciutat Vella,1,el Raval,2.1685544,41.3790913,430476.020,4581174.680,2000/01/01,
8156386,255128000_Taco,1.50,1,Ciutat Vella,1,el Raval,2.1647355,41.3776104,430155.092,4581013.323,2000/01/01,
8151709,255000000_Pastilla,7.02,1,Ciutat Vella,1,el Raval,2.1707166,41.3817705,430659.665,4581470.303,2000/01/01,
8156233,255000000_Pastilla,12.36,1,Ciutat Vella,1,el Raval,2.1692690,41.3790171,430535.689,4581165.820,2000/01/01,
8156478,255128000_Taco,7.25,1,Ciutat Vella,1,el Raval,2.1667884,41.3759065,430324.943,4580822.475,2000/01/01,2015/03/31
8156520,255128000_Taco,7.02,1,Ciutat Vella,1,el Raval,2.1674830,41.3753815,430382.468,4580763.685,2000/01/01,2015/03/31
8151706,255000000_Pastilla,4.57,1,Ciutat Vella,1,el Raval,2.1666866,41.3817124,430322.633,4581467.143,2000/01/01,
8578570,000000255_Ciclista,3.25,1,Ciutat Vella,1,el Raval,2.1677993,41.3750684,430408.583,4580728.621,2010/07/30,2015/03/31
9063788,255128000_Taco,3.75,1,Ciutat Vella,1,el Raval,2.1740154,41.3801100,430933.740,4581283.324,2017/10/20,
8156226,255000000_Pastilla,10.41,1,Ciutat Vella,1,el Raval,2.1696442,41.3786949,430566.726,4581129.730,2000/01/01,
8151703,255000000_Pastilla,4.49,1,Ciutat Vella,1,el Raval,2.1708407,41.3805345,430668.730,4581333.017,2000/01/01,2018/03/25
8151700,255000000_Pastilla,4.52,1,Ciutat Vella,1,el Raval,2.1707424,41.3805504,430660.520,4581334.883,2000/01/01,2018/03/25
8156219,255000000_Pastilla,12.26,1,Ciutat Vella,1,el Raval,2.1700257,41.3783763,430598.279,4581094.083,2000/01/01,
8156673,255128000_Taco,4.83,1,Ciutat Vella,1,el Raval,2.1670290,41.3758693,430345.020,4580818.212,2000/01/01,2018/03/27
8575622,000000255_Ciclista,0.81,1,Ciutat Vella,1,el Raval,2.1639117,41.3841084,430093.173,4581735.373,2010/07/16,2015/11/04
8156740,255128000_Taco,7.50,1,Ciutat Vella,1,el Raval,2.1631285,41.3789404,430022.140,4581162.287,2000/01/01,2015/12/02
8781789,255000000_Pastilla,6.00,1,Ciutat Vella,1,el Raval,2.1672010,41.3789944,430362.740,4581164.997,2015/03/04,
8772343,255000000_Pastilla,12.00,1,Ciutat Vella,1,el Raval,2.1717509,41.3808218,430745.147,4581364.207,2014/06/01,2017/04/30
